,Name,Lat,Long,Zu_Hause_Distanz,Zu_Hause_Dauer,Robotron_Distanz,Robotron_Dauer,Schule_Distanz,Schule_Dauer,Kletterarena_Distanz,Kletterarena_Dauer,Großeltern_Distanz,Großeltern_Dauer,Dresden Zentrum_Distanz,Dresden Zentrum_Dauer
0,Podemus,51.0611175,13.6266098,13.05,45,11.82,41,17.73,64,9.86,34,25.83,92,10.86,37
1,Weißig,51.0016398,13.6118402,16.97,62,7.92,26,16.44,58,10.49,39,28.98,106,12.96,47
2,Kesselsdorf,51.0322245,13.5942849,15.86,55,9.24,31,17.76,63,10.41,35,27.87,99,11.86,40
3,Steinbach,51.0437651,13.6028003,14.88,52,10.48,34,17.87,63,10.35,34,27.65,99,11.52,39
4,Pennrich,51.0441703,13.6236509,13.52,48,9.12,30,16.51,59,8.99,30,26.29,94,10.16,34
5,Gompitz,51.0435315,13.6377166,12.38,44,8.26,27,15.58,56,8.36,28,25.15,90,9.02,30
6,Unkersdorf,51.0564054,13.5915327,15.79,54,12.33,41,19.72,69,12.21,41,28.56,101,13.6,46
7,Rennersdorf,51.069234,13.6085307,14.14,49,13.62,45,21.05,73,11.66,38,26.91,95,11.94,41
8,Brabschütz,51.0697817,13.622591,13.1,45,12.58,42,20.0,70,10.62,35,25.87,92,10.9,37
9,Pesterwitz,51.0281105,13.6539668,11.07,39,5.54,18,13.13,47,5.61,18,23.08,82,7.06,23
10,Paulsdorf,50.9164842,13.6450675,23.4,79,17.03,58,20.5,71,21.58,78,34.88,122,24.05,87
11,Bad Schandau,50.918091,14.1534018,39.36,138,41.76,148,31.96,113,44.23,155,35.9,123,41.95,147
12,Gorbitz,51.045189,13.6716625,9.44,34,6.49,22,13.09,48,5.22,18,21.45,77,5.95,20
13,Altfranken,51.0340852,13.6454145,11.7,41,6.61,22,14.2,51,6.68,22,23.71,85,7.69,26
14,Cotta,51.0577378,13.6824944,8.47,30,7.18,24,13.08,47,5.21,17,21.24,77,6.27,22
15,Friedrichstadt,51.0588443,13.714757,5.61,21,6.86,23,11.37,41,3.49,12,18.38,68,2.44,8
16,Wilsdruff,51.0524125,13.5362765,20.02,70,15.39,53,23.9,85,16.55,57,32.79,116,17.83,62
17,Grumbach,51.0314791,13.5445044,20.15,69,13.53,45,22.04,77,14.7,49,32.16,113,16.14,54
18,Ottendorf-Okrilla,51.182698,13.8361238,19.26,65,25.59,87,27.33,94,21.02,75,17.32,59,18.97,68
19,Pirna,50.9616923,13.9386643,20.0,68,21.13,73,12.29,42,24.87,85,16.92,59,22.59,77
20,Wünschendorf,51.0174197,13.9542244,20.36,70,25.36,91,15.79,57,25.39,87,7.04,23,23.11,79
21,Eschdorf,51.0367904,13.9421865,18.59,64,22.32,80,12.82,48,23.62,81,4.84,16,21.34,73
22,Rossendorf,51.0570468,13.9390639,15.96,55,22.56,78,14.04,51,20.83,72,5.88,19,18.55,64
23,Kleinopitz,51.0044794,13.5917025,19.13,69,10.08,33,18.6,65,12.65,46,31.14,113,15.12,54
24,Großopitz,50.9985136,13.5912331,18.75,68,9.71,32,18.22,64,12.28,45,30.76,112,14.75,53
25,Tharandt,50.9853391,13.5794907,21.85,80,11.4,39,21.32,76,15.38,57,33.86,124,17.85,65
26,Südvorstadt,51.0354839,13.7305097,4.65,16,4.16,14,8.13,29,1.52,5,15.55,53,2.8,10
27,Strehlen,51.0272848,13.7622097,4.66,15,5.61,19,5.44,19,3.98,13,12.42,41,4.15,14
28,Wilschdorf,51.1202022,13.7201701,11.49,39,15.68,55,19.56,68,12.21,46,17.92,61,10.16,39
29,Langebrück,51.1313939,13.8409193,12.45,44,20.39,71,20.93,71,15.82,59,10.67,37,13.78,52
30,Bärenklause,50.968738,13.7657138,13.2,44,10.28,34,6.04,20,12.38,41,17.79,64,12.7,42
31,Plauen,51.0277699,13.7098359,6.49,21,2.52,9,8.54,32,1.98,6,17.39,59,4.26,15
32,Friedersdorf,51.2023272,14.0035848,31.48,110,38.07,132,33.85,120,35.03,121,23.22,80,32.98,114
33,Pulsnitz,51.1825771,14.0139733,28.98,101,35.58,123,31.36,111,33.85,117,20.73,71,31.57,109
34,Kleinröhrsdorf,51.1288759,13.9757571,21.32,73,27.92,96,23.7,83,26.19,90,13.06,44,23.91,82
35,Schönborn,51.1454972,13.8654659,15.38,53,23.31,81,23.85,81,18.75,69,13.59,47,16.7,62
36,Kleindittmannsdorf,51.175117,13.9349467,23.28,80,32.3,110,28.92,106,27.73,98,18.29,66,25.68,91
37,Wallroda,51.1141427,13.95687,18.85,65,25.45,87,21.23,75,23.72,82,10.6,36,21.44,74
38,Fischbach,51.0862805,14.0172773,23.01,79,29.61,102,29.87,104,27.89,96,14.42,49,25.61,88
39,Weißig,51.0611241,13.8846225,11.1,39,17.7,62,11.69,43,15.97,56,1.11,3,13.69,48
40,Gönnsdorf,51.0482056,13.86893,9.91,35,16.51,57,9.65,36,16.32,57,2.55,8,14.04,49
41,Cunnersdorf,51.0434199,13.8779892,10.68,37,16.26,59,9.91,36,17.57,61,2.61,8,15.29,53
42,Pappritz,51.038152,13.8539764,9.59,34,14.45,54,8.1,31,14.62,51,4.1,13,12.34,44
43,Helfenberg,51.0371873,13.8651519,11.15,39,14.88,55,8.53,32,16.19,56,3.82,12,13.91,49
44,Rockau,51.0278281,13.8648317,12.26,43,15.98,59,7.46,31,17.29,61,4.75,16,15.01,53
45,Malschendorf,51.026096,13.8829907,13.85,47,17.58,63,8.08,31,18.89,65,5.17,17,16.6,57
46,Borsberg,51.0127446,13.8958848,13.49,47,17.22,63,7.72,31,18.53,64,7.14,23,16.25,56
47,Zaschendorf,51.0179808,13.9119487,14.93,52,18.66,68,9.16,36,19.96,69,5.91,19,17.68,61
48,Schullwitz,51.040159,13.920996,16.8,57,20.53,73,11.03,41,21.84,74,3.15,10,19.55,67
49,Pratzschwitz,50.9680121,13.8972031,16.14,58,18.54,68,8.98,34,21.01,75,12.68,43,18.73,67
50,Bonnewitz,51.0060776,13.9444764,17.7,61,22.7,82,13.14,48,22.74,78,9.6,32,20.46,70
51,Jessen,50.991008,13.9459917,19.7,69,22.11,79,12.54,45,24.58,86,11.06,36,22.3,78
52,Liebethal,50.9986432,13.9585538,19.26,66,24.26,87,14.7,53,24.3,83,9.67,32,22.02,75
53,Zatzschke,50.9787264,13.9588033,22.1,78,24.5,88,14.94,54,26.97,95,18.64,63,24.69,87
54,Copitz,50.9685807,13.9306563,19.13,69,21.53,79,11.97,44,24.0,85,15.67,54,21.72,77
55,Mockethal,50.9736734,13.9587007,21.54,76,23.94,86,14.38,52,26.41,93,18.08,62,24.13,85
56,Daube,50.9933535,13.9771392,21.77,75,26.78,96,17.21,62,26.81,92,12.18,41,24.53,84
57,Dorf Wehlen,50.960812,14.0051103,25.37,89,27.78,99,18.21,65,30.25,106,16.81,56,27.96,98
58,Ebenheit,50.9458244,13.9799841,24.47,84,25.6,89,16.76,58,29.35,101,21.26,75,27.07,93
59,Elbersdorf,51.024445,13.9886496,25.56,87,30.57,108,21.0,74,30.6,104,10.82,36,28.32,96
60,Wölkau,50.9739442,13.8309315,14.56,50,13.45,48,4.39,14,12.7,43,14.27,52,12.67,43
61,Bosewitz,50.9660395,13.8304865,15.7,54,14.59,52,5.53,18,13.84,47,17.28,61,13.8,47
62,Kautzsch,50.9616519,13.7658578,13.52,45,9.57,32,6.36,21,12.7,42,18.11,65,13.02,43
63,Siedlung Waldfrieden,50.9640422,13.6226923,19.88,73,9.42,33,15.67,54,13.4,50,31.89,117,15.87,58
64,Stolpen,51.0492329,14.0830003,33.89,117,38.9,138,29.33,104,38.93,134,19.72,68,36.65,126
65,Striesen,51.0434696,13.7860506,2.9,9,8.64,29,7.18,25,6.31,21,10.06,34,4.1,14
66,Gruna,51.0332929,13.7864783,4.06,13,7.99,27,5.55,20,6.29,21,10.27,34,4.34,15
67,Leuben,51.0106334,13.8270795,10.02,34,10.34,37,2.99,10,9.86,33,9.72,36,8.39,28
68,Tolkewitz,51.0319811,13.8223508,6.48,24,10.58,37,5.88,20,9.28,32,8.41,32,7.06,24
69,Laubegast,51.0233708,13.8379982,8.05,27,11.8,41,4.62,15,12.92,44,7.75,29,10.64,36
70,Dobritz,51.0156278,13.811801,7.42,24,9.26,33,3.46,11,8.61,29,9.74,36,7.28,25
71,Seidnitz,51.0275953,13.803068,5.8,19,9.37,32,5.22,17,7.69,26,9.93,37,6.03,21
72,Prohlis,51.0066538,13.7930626,7.67,25,8.11,29,2.15,9,7.49,25,11.94,44,7.7,26
73,Niedersedlitz,50.9975268,13.8214684,11.9,40,10.37,36,1.52,5,9.62,32,11.6,42,9.58,32
