,Name,Lat,Long,Gemeinde,Zu_Hause_Distanz,Zu_Hause_Dauer,Robotron_Distanz,Robotron_Dauer,Schule_Distanz,Schule_Dauer,Kletterarena_Distanz,Kletterarena_Dauer,Großeltern_Distanz,Großeltern_Dauer,Dresden Zentrum_Distanz,Dresden Zentrum_Dauer
0,Podemus,51.0611175,13.6266098,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",12.28,23,19.0,23,23.02,25,9.85,18,50.31,41,9.99,19
1,Weißig,51.0016398,13.6118402,-,14.53,34,7.77,15,16.66,29,9.82,24,26.65,52,13.06,31
2,Kesselsdorf,51.0322245,13.5942849,-,18.76,28,14.45,18,18.48,20,11.58,21,53.28,41,12.15,24
3,Steinbach,51.0437651,13.6028003,"Gorbitz,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",15.65,27,17.98,22,22.01,24,10.45,20,55.15,44,13.36,23
4,Pennrich,51.0441703,13.6236509,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",12.24,25,15.64,20,19.66,22,9.09,17,53.79,42,9.66,21
5,Gompitz,51.0435315,13.6377166,"Dresden,Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",11.31,23,8.98,19,19.52,22,8.16,15,53.65,42,8.73,19
6,Unkersdorf,51.0564054,13.5915327,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",15.02,27,16.63,21,20.66,22,12.23,21,55.46,44,12.72,22
7,Rennersdorf,51.069234,13.6085307,-,13.37,25,19.06,24,23.09,26,10.93,20,51.39,43,11.07,21
8,Brabschütz,51.0697817,13.622591,-,12.32,23,12.94,24,23.94,27,9.89,18,50.35,41,10.03,19
9,Pesterwitz,51.0281105,13.6539668,-,10.03,24,5.63,13,20.85,24,5.61,13,19.36,43,7.49,19
10,Paulsdorf,50.9164842,13.6450675,-,22.61,40,18.89,27,18.84,28,19.99,35,31.4,54,21.14,37
11,Bad Schandau,50.918091,14.1534018,-,38.54,63,46.73,52,40.47,50,49.05,59,29.54,47,50.21,61
12,Gorbitz,51.045189,13.6716625,"Dresden,Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",8.66,19,7.58,17,22.28,25,5.51,11,18.0,38,6.09,15
13,Altfranken,51.0340852,13.6454145,"Dresden,Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",11.22,24,6.7,16,19.89,22,6.68,16,54.01,42,8.64,19
14,Cotta,51.0577378,13.6824944,"Dresden,Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",7.37,16,7.34,15,12.03,25,4.29,9,16.7,35,5.07,11
15,Friedrichstadt,51.0588443,13.714757,-,5.03,12,6.93,16,10.66,23,3.2,8,14.37,31,2.74,8
16,Wilsdruff,51.0524125,13.5362765,-,20.75,28,22.32,22,26.35,24,18.4,25,55.27,41,20.34,26
17,Grumbach,51.0314791,13.5445044,-,21.87,33,17.55,22,21.58,24,14.69,25,56.39,46,15.26,29
18,Ottendorf-Okrilla,51.182698,13.8361238,"Kamenz,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",20.24,26,38.59,32,42.62,34,23.69,28,27.46,25,23.34,28
19,Pirna,50.9616923,13.9386643,-,27.26,34,22.31,23,16.05,20,24.64,29,18.63,29,25.79,31
20,Wünschendorf,51.0174197,13.9542244,Dürrröhrsdorf-Dittersbach,20.58,34,28.47,23,22.21,20,30.79,30,7.77,14,31.95,32
21,Eschdorf,51.0367904,13.9421865,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",14.98,30,31.7,28,25.44,26,34.02,35,4.81,10,17.46,36
22,Rossendorf,51.0570468,13.9390639,-,14.24,26,34.24,33,16.08,30,18.71,36,5.79,9,16.72,32
23,Kleinopitz,51.0044794,13.5917025,-,23.43,37,9.96,21,23.14,28,12.83,28,57.95,50,16.82,33
24,Großopitz,50.9985136,13.5912331,-,24.45,37,9.59,20,24.16,29,13.85,28,58.97,50,17.84,33
25,Tharandt,50.9853391,13.5794907,-,19.15,41,11.22,23,18.45,32,14.71,31,61.0,54,19.88,37
26,Südvorstadt,51.0354839,13.7305097,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",4.21,11,4.75,10,8.0,16,1.52,5,14.55,31,2.75,8
