,name,geometry,id_str,Overlap_Distance
0,0,"POLYGON ((13.5 50.91, 13.524736842105263 50.91, 13.524736842105263 50.92526315789473, 13.5 50.92526315789473, 13.5 50.91))",0,770
1,1,"POLYGON ((13.5 50.92526315789473, 13.524736842105263 50.92526315789473, 13.524736842105263 50.94052631578947, 13.5 50.94052631578947, 13.5 50.92526315789473))",1,770
2,2,"POLYGON ((13.5 50.94052631578947, 13.524736842105263 50.94052631578947, 13.524736842105263 50.955789473684206, 13.5 50.955789473684206, 13.5 50.94052631578947))",2,770
3,3,"POLYGON ((13.5 50.955789473684206, 13.524736842105263 50.955789473684206, 13.524736842105263 50.97105263157894, 13.5 50.97105263157894, 13.5 50.955789473684206))",3,690
4,4,"POLYGON ((13.5 50.97105263157894, 13.524736842105263 50.97105263157894, 13.524736842105263 50.986315789473686, 13.5 50.986315789473686, 13.5 50.97105263157894))",4,690
5,5,"POLYGON ((13.5 50.986315789473686, 13.524736842105263 50.986315789473686, 13.524736842105263 51.00157894736842, 13.5 51.00157894736842, 13.5 50.986315789473686))",5,690
6,6,"POLYGON ((13.5 51.00157894736842, 13.524736842105263 51.00157894736842, 13.524736842105263 51.01684210526316, 13.5 51.01684210526316, 13.5 51.00157894736842))",6,450
7,7,"POLYGON ((13.5 51.01684210526316, 13.524736842105263 51.01684210526316, 13.524736842105263 51.032105263157895, 13.5 51.032105263157895, 13.5 51.01684210526316))",7,450
8,8,"POLYGON ((13.5 51.032105263157895, 13.524736842105263 51.032105263157895, 13.524736842105263 51.04736842105263, 13.5 51.04736842105263, 13.5 51.032105263157895))",8,530
9,9,"POLYGON ((13.5 51.04736842105263, 13.524736842105263 51.04736842105263, 13.524736842105263 51.06263157894737, 13.5 51.06263157894737, 13.5 51.04736842105263))",9,430
10,10,"POLYGON ((13.5 51.06263157894737, 13.524736842105263 51.06263157894737, 13.524736842105263 51.077894736842104, 13.5 51.077894736842104, 13.5 51.06263157894737))",10,670
11,11,"POLYGON ((13.5 51.077894736842104, 13.524736842105263 51.077894736842104, 13.524736842105263 51.09315789473684, 13.5 51.09315789473684, 13.5 51.077894736842104))",11,770
12,12,"POLYGON ((13.5 51.09315789473684, 13.524736842105263 51.09315789473684, 13.524736842105263 51.10842105263158, 13.5 51.10842105263158, 13.5 51.09315789473684))",12,450
13,13,"POLYGON ((13.5 51.10842105263158, 13.524736842105263 51.10842105263158, 13.524736842105263 51.123684210526314, 13.5 51.123684210526314, 13.5 51.10842105263158))",13,450
14,14,"POLYGON ((13.5 51.123684210526314, 13.524736842105263 51.123684210526314, 13.524736842105263 51.13894736842106, 13.5 51.13894736842106, 13.5 51.123684210526314))",14,770
15,15,"POLYGON ((13.5 51.13894736842106, 13.524736842105263 51.13894736842106, 13.524736842105263 51.154210526315794, 13.5 51.154210526315794, 13.5 51.13894736842106))",15,770
16,16,"POLYGON ((13.5 51.154210526315794, 13.524736842105263 51.154210526315794, 13.524736842105263 51.16947368421053, 13.5 51.16947368421053, 13.5 51.154210526315794))",16,770
17,17,"POLYGON ((13.5 51.16947368421053, 13.524736842105263 51.16947368421053, 13.524736842105263 51.184736842105266, 13.5 51.184736842105266, 13.5 51.16947368421053))",17,770
18,18,"POLYGON ((13.5 51.184736842105266, 13.524736842105263 51.184736842105266, 13.524736842105263 51.2, 13.5 51.2, 13.5 51.184736842105266))",18,770
19,19,"POLYGON ((13.524736842105263 50.91, 13.549473684210527 50.91, 13.549473684210527 50.92526315789473, 13.524736842105263 50.92526315789473, 13.524736842105263 50.91))",19,770
20,20,"POLYGON ((13.524736842105263 50.92526315789473, 13.549473684210527 50.92526315789473, 13.549473684210527 50.94052631578947, 13.524736842105263 50.94052631578947, 13.524736842105263 50.92526315789473))",20,770
21,21,"POLYGON ((13.524736842105263 50.94052631578947, 13.549473684210527 50.94052631578947, 13.549473684210527 50.955789473684206, 13.524736842105263 50.955789473684206, 13.524736842105263 50.94052631578947))",21,770
22,22,"POLYGON ((13.524736842105263 50.955789473684206, 13.549473684210527 50.955789473684206, 13.549473684210527 50.97105263157894, 13.524736842105263 50.97105263157894, 13.524736842105263 50.955789473684206))",22,690
23,23,"POLYGON ((13.524736842105263 50.97105263157894, 13.549473684210527 50.97105263157894, 13.549473684210527 50.986315789473686, 13.524736842105263 50.986315789473686, 13.524736842105263 50.97105263157894))",23,690
24,24,"POLYGON ((13.524736842105263 50.986315789473686, 13.549473684210527 50.986315789473686, 13.549473684210527 51.00157894736842, 13.524736842105263 51.00157894736842, 13.524736842105263 50.986315789473686))",24,690
25,25,"POLYGON ((13.524736842105263 51.00157894736842, 13.549473684210527 51.00157894736842, 13.549473684210527 51.01684210526316, 13.524736842105263 51.01684210526316, 13.524736842105263 51.00157894736842))",25,450
26,26,"POLYGON ((13.524736842105263 51.01684210526316, 13.549473684210527 51.01684210526316, 13.549473684210527 51.032105263157895, 13.524736842105263 51.032105263157895, 13.524736842105263 51.01684210526316))",26,450
27,27,"POLYGON ((13.524736842105263 51.032105263157895, 13.549473684210527 51.032105263157895, 13.549473684210527 51.04736842105263, 13.524736842105263 51.04736842105263, 13.524736842105263 51.032105263157895))",27,530
28,28,"POLYGON ((13.524736842105263 51.04736842105263, 13.549473684210527 51.04736842105263, 13.549473684210527 51.06263157894737, 13.524736842105263 51.06263157894737, 13.524736842105263 51.04736842105263))",28,370
29,29,"POLYGON ((13.524736842105263 51.06263157894737, 13.549473684210527 51.06263157894737, 13.549473684210527 51.077894736842104, 13.524736842105263 51.077894736842104, 13.524736842105263 51.06263157894737))",29,370
30,30,"POLYGON ((13.524736842105263 51.077894736842104, 13.549473684210527 51.077894736842104, 13.549473684210527 51.09315789473684, 13.524736842105263 51.09315789473684, 13.524736842105263 51.077894736842104))",30,530
31,31,"POLYGON ((13.524736842105263 51.09315789473684, 13.549473684210527 51.09315789473684, 13.549473684210527 51.10842105263158, 13.524736842105263 51.10842105263158, 13.524736842105263 51.09315789473684))",31,450
32,32,"POLYGON ((13.524736842105263 51.10842105263158, 13.549473684210527 51.10842105263158, 13.549473684210527 51.123684210526314, 13.524736842105263 51.123684210526314, 13.524736842105263 51.10842105263158))",32,770
