,Unnamed: 0,"('Karte', None)","('Gemarkungs- schlüssel', None)","Name","('Fläche (ha)', None)","('Anzahl der Flurstücke', None)","('Eingemein- dungsjahr', None)","('Bild', None)","('Stadt-/Ortsteile', None)","('Zugehörigkeit', None)"
0,0,"('', '/wiki/Datei:Gemarkung_Altfranken_in_Dresden.svg')","('3001', None)","('Altfranken', '/wiki/Altfranken')","('128', None)","('735', None)","('1997', None)","('', '/wiki/Datei:Altfranken_3.jpg')","('Altfranken', '/wiki/Altfranken')","('Altfranken (Ortschaft)', '/wiki/Altfranken')"
1,1,"('', '/wiki/Datei:Gemarkung_Altstadt_I_in_Dresden.svg')","('0208', None)","('Altstadt I', '/wiki/Altstadt_(Gemarkungen)')","('419', None)","('1943', None)","('Stadtkern[1]', '#cite_note-1')","('', '/wiki/Datei:Panoramaansicht_der_Dresdener_Innenstadt.JPG')","('Innere Altstadt, Pirnaische Vorstadt, Seevorstadt, innere Wilsdruffer Vorstadt', '/wiki/Innere_Altstadt')","('Altstadt (Stadtbezirk)', '/wiki/Altstadt_(Stadtbezirk)')"
3,3,"('', '/wiki/Datei:Gemarkung_Blasewitz_in_Dresden.svg')","('0201', None)","('Blasewitz', '/wiki/Blasewitz')","('280', None)","('1479', None)","('1921', None)","('', '/wiki/Datei:Dresden-Schillergarten.jpg')","('Blasewitz, Neugruna', '/wiki/Blasewitz')","('Blasewitz (Stadtbezirk)', '/wiki/Blasewitz_(Stadtbezirk)')"
4,4,"('', '/wiki/Datei:Gemarkung_Borsberg_in_Dresden.svg')","('3007', None)","('Borsberg', '/wiki/Borsberg_(Dresden)')","('116', None)","('348', None)","('1999', None)","('', '/wiki/Datei:Borsberg.jpg')","('Borsberg', '/wiki/Borsberg_(Dresden)')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
5,5,"('', '/wiki/Datei:Gemarkung_Brabsch%C3%BCtz_in_Dresden.svg')","('3009', None)","('Brabschütz', '/wiki/Brabsch%C3%BCtz')","('168', None)","('336', None)","('1999', None)","('', '/wiki/Datei:Dresden_Brabsch%C3%BCtz_Dorfkern_1.jpg')","('Brabschütz', '/wiki/Brabsch%C3%BCtz')","('Mobschatz (Ortschaft)', '/wiki/Mobschatz_(Ortschaft)')"
6,6,"('', '/wiki/Datei:Gemarkung_Briesnitz_in_Dresden.svg')","('0202', None)","('Briesnitz', '/wiki/Briesnitz_(Dresden)')","('145', None)","('1028', None)","('1921', None)","('', '/wiki/Datei:Dresden_Briesnitz_Kirche_3.jpg')","('Briesnitz', '/wiki/Briesnitz_(Dresden)')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
7,7,"('', '/wiki/Datei:Gemarkung_B%C3%BChlau_in_Dresden.svg')","('0203', None)","('Bühlau', '/wiki/B%C3%BChlau_(Dresden)')","('343', None)","('1809', None)","('1921', None)","('', '/wiki/Datei:Dresden-B%C3%BChlau_St.-Michaels-Kirche_2.JPG')","('Bühlau, Quohren', '/wiki/B%C3%BChlau_(Dresden)')","('Loschwitz (Stadtbezirk)', '/wiki/Loschwitz_(Stadtbezirk)')"
8,8,"('', '/wiki/Datei:Gemarkung_Cosch%C3%BCtz_in_Dresden.svg')","('0204', None)","('Coschütz', '/wiki/Cosch%C3%BCtz_(Dresden)')","('309', None)","('1274', None)","('1921', None)","('', '/wiki/Datei:Dresden-Cosch%C3%BCtz_Karlsruher_Stra%C3%9Fe.JPG')","('Coschütz', '/wiki/Cosch%C3%BCtz_(Dresden)')","('Plauen (Stadtbezirk)', '/wiki/Plauen_(Stadtbezirk)')"
9,9,"('', '/wiki/Datei:Gemarkung_Cossebaude_in_Dresden.svg')","('3014', None)","('Cossebaude', '/wiki/Cossebaude_(Ortsteil)')","('281', None)","('1611', None)","('1997', None)","('', '/wiki/Datei:Bismarckturm_Dresden-Cossebaude.jpg')","('Cossebaude, Neu-Leuteritz', '/wiki/Cossebaude_(Ortsteil)')","('Cossebaude (Ortschaft)', '/wiki/Cossebaude_(Ortschaft)')"
10,10,"('', '/wiki/Datei:Gemarkung_Cotta_in_Dresden.svg')","('0205', None)","('Cotta', '/wiki/Cotta_(Dresden)')","('158', None)","('1327', None)","('1903', None)","('', '/wiki/Datei:Rathaus_Cotta_001.jpg')","('Cotta', '/wiki/Cotta_(Dresden)')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
11,11,"('', '/wiki/Datei:Gemarkung_Cunnersdorf_in_Dresden.svg')","('3018', None)","('Cunnersdorf', '/wiki/Cunnersdorf_(Dresden)')","('162', None)","('461', None)","('1999', None)","('', '/wiki/Datei:Cunnersdorf_1.jpg')","('Cunnersdorf', '/wiki/Cunnersdorf_(Dresden)')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
12,12,"('', '/wiki/Datei:Gemarkung_Dobritz_in_Dresden.svg')","('0206', None)","('Dobritz', '/wiki/Dobritz_(Dresden)')","('160', None)","('618', None)","('1921', None)","('', '/wiki/Datei:Dresden-Dobritz_Dorfplatz_Altdobritz_13-15_Sterlhaus_Nebengeb%C3%A4ude_Zwirnm%C3%BChle_Volksbad_Dreiseithof_20120409.jpg')","('Dobritz', '/wiki/Dobritz_(Dresden)')","('Blasewitz (Stadtbezirk), Leuben (Stadtbezirk), Prohlis (Stadtbezirk)', '/wiki/Blasewitz_(Stadtbezirk)')"
13,13,"('', '/wiki/Datei:Gemarkung_D%C3%B6lzschen_in_Dresden.svg')","('0207', None)","('Dölzschen', '/wiki/D%C3%B6lzschen')","('219', None)","('931', None)","('1945', None)","('', '/wiki/Datei:A17_Wei%C3%9Feritztalbruecke_Plauenscher_Grund.jpg')","('Dölzschen', '/wiki/D%C3%B6lzschen')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
14,14,"('', '/wiki/Datei:Gemarkung_Dresdner_Heide_in_Dresden.svg')","('0211', None)","('Dresdner Heide', '/wiki/Dresdner_Heide')","('4890', None)","('386', None)","('1949', None)","('', '/wiki/Datei:Dresden-Priessnitzfall1.jpg')","('Dresdner Heide', '/wiki/Dresdner_Heide')","('Loschwitz (Stadtbezirk), Klotzsche (Stadtbezirk)', '/wiki/Loschwitz_(Stadtbezirk)')"
15,15,"('', '/wiki/Datei:Gemarkung_Eschdorf_in_Dresden.svg')","('3019', None)","('Eschdorf', '/wiki/Eschdorf_(Dresden)')","('765', None)","('881', None)","('1999', None)","('', '/wiki/Datei:Kirche_in_Eschdorf_(Dresden)_(cropped).jpg')","('Eschdorf, Rosinendörfchen', '/wiki/Eschdorf_(Dresden)')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
16,16,"('', '/wiki/Datei:Gemarkung_Friedrichstadt_in_Dresden.svg')","('0210', None)","('Friedrichstadt', '/wiki/Friedrichstadt_(Dresden)')","('641', None)","('1243', None)","('1836', None)","('', '/wiki/Datei:Dresden_Yenidze2.jpg')","('Friedrichstadt', '/wiki/Friedrichstadt_(Dresden)')","('Altstadt (Stadtbezirk), Cotta (Stadtbezirk)', '/wiki/Altstadt_(Stadtbezirk)')"
17,17,"('', '/wiki/Datei:Gemarkung_Gittersee_in_Dresden.svg')","('0214', None)","('Gittersee', '/wiki/Gittersee')","('107', None)","('988', None)","('1945', None)","('', '/wiki/Datei:Gitterseer_Friedhof.jpg')","('Gittersee', '/wiki/Gittersee')","('Plauen (Stadtbezirk)', '/wiki/Plauen_(Stadtbezirk)')"
18,18,"('', '/wiki/Datei:Gemarkung_G%C3%B6nnsdorf_in_Dresden.svg')","('3024', None)","('Gönnsdorf', '/wiki/G%C3%B6nnsdorf')","('115', None)","('891', None)","('1999', None)","('', '/wiki/Datei:G%C3%B6nnsdorf.JPG')","('Gönnsdorf', '/wiki/G%C3%B6nnsdorf')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
19,19,"('', '/wiki/Datei:Gemarkung_Gomlitz_in_Dresden.svg')","('3084', None)","('Gomlitz', '/wiki/Gomlitz')","('220', None)","('753', None)","('1999', None)","('', '/wiki/Datei:Altgomlitz.JPG')","('Gomlitz', '/wiki/Gomlitz')","('Weixdorf (Ortschaft)', '/wiki/Weixdorf_(Ortschaft)')"
20,20,"('', '/wiki/Datei:Gemarkung_Gompitz_in_Dresden.svg')","('3025', None)","('Gompitz', '/wiki/Gompitz_(Ortsteil)')","('135', None)","('517', None)","('1999', None)","('', '/wiki/Datei:Gompitz_2.jpg')","('Gompitz', '/wiki/Gompitz_(Ortsteil)')","('Gompitz (Ortschaft)', '/wiki/Gompitz_(Ortschaft)')"
21,21,"('', '/wiki/Datei:Gemarkung_Gorbitz_in_Dresden.svg')","('0215', None)","('Gorbitz', '/wiki/Gorbitz')","('318', None)","('1334', None)","('1921', None)","('', '/wiki/Datei:Bundesarchiv_Bild_183-1987-0212-010,_Dresden,_Neubaugebiet_Gorbitz,_Wohnblocks,_Winter.jpg')","('Gorbitz', '/wiki/Gorbitz')","('Cotta (Stadtbezirk)', '/wiki/Cotta_(Stadtbezirk)')"
22,22,"('', '/wiki/Datei:Gemarkung_Gostritz_in_Dresden.svg')","('0216', None)","('Gostritz', '/wiki/Gostritz')","('117', None)","('317', None)","('1921', None)","('', '/wiki/Datei:Gostritz_2.jpg')","('Gostritz', '/wiki/Gostritz')","('Plauen (Stadtbezirk)', '/wiki/Plauen_(Stadtbezirk)')"
23,23,"('', '/wiki/Datei:Gemarkung_Gro%C3%9Fluga_in_Dresden.svg')","('0217', None)","('Großluga', '/wiki/Luga_(Dresden)')","('158', None)","('442', None)","('1950', None)","('', '/wiki/Datei:Gro%C3%9Fluga_1.jpg')","('Luga', '/wiki/Luga_(Dresden)')","('Prohlis (Stadtbezirk), Leuben (Stadtbezirk)', '/wiki/Prohlis_(Stadtbezirk)')"
24,24,"('', '/wiki/Datei:Gemarkung_Gro%C3%9Fzschachwitz_in_Dresden.svg')","('0218', None)","('Großzschachwitz', '/wiki/Gro%C3%9Fzschachwitz')","('82', None)","('422', None)","('1950', None)","('', '/wiki/Datei:Gro%C3%9Fzschachwitz_1.jpg')","('Großzschachwitz', '/wiki/Gro%C3%9Fzschachwitz')","('Leuben (Stadtbezirk)', '/wiki/Leuben_(Stadtbezirk)')"
25,25,"('', '/wiki/Datei:Gemarkung_Gruna_in_Dresden.svg')","('0219', None)","('Gruna', '/wiki/Gruna_(Dresden)')","('132', None)","('720', None)","('1901', None)","('', '/wiki/Datei:Dresden_Gruna_St%C3%BCbelallee.jpg')","('Gruna', '/wiki/Gruna_(Dresden)')","('Blasewitz (Stadtbezirk)', '/wiki/Blasewitz_(Stadtbezirk)')"
26,26,"('', '/wiki/Datei:Gemarkung_Helfenberg_in_Dresden.svg')","('3070', None)","('Helfenberg', '/wiki/Helfenberg_(Dresden)')","('298', None)","('683', None)","('1999', None)","('', '/wiki/Datei:Herrenhaus_Helfenberg.jpg')","('Eichbusch, Helfenberg, Rockau', '/wiki/Eichbusch_(Dresden)')","('Schönfeld-Weißig (Ortschaft)', '/wiki/Sch%C3%B6nfeld-Wei%C3%9Fig')"
27,27,"('', '/wiki/Datei:Gemarkung_Hellerau_in_Dresden.svg')","('0220', None)","('Hellerau', '/wiki/Hellerau')","('555', None)","('2868', None)","('1950', None)","('', '/wiki/Datei:Dresden_Hellerau_Festspielhaus_0906.jpg')","('Hellerau, Rähnitz', '/wiki/Hellerau')","('Klotzsche (Stadtbezirk)', '/wiki/Klotzsche_(Stadtbezirk)')"
